Package No;Shipment No;Gross Weight (kg);Width (cm);Height (cm);Length (cm)
1007530-2011-03239;1000088;23;35;30;35
1007530-2011-03241;1000310;150;60;55;80
1007530-2011-03242;1000346;0,5;14;15;19
1007530-2011-03243;1000456;1,5;20;20;29
1007530-2011-03244;1000796;1;10;10;10
1007530-2011-03245;1000957;75;82;81;120
1007530-2011-03246;1000957;41;80;34;120
1007530-2011-03247;1001184;1.340;220;112;406
1007530-2011-03249;1001408;0,5;20;20;29
1007530-2011-03250;1001563;5;45;35;45
1007530-2011-03251;1001600;0,7;20;20;29
1007530-2011-03252;1001733;0,8;20;20;29
1007530-2011-03253;1001793;1;10;10;10
1007530-2011-03254;1001794;1;10;10;10
1007530-2011-03255;1002040;1,1;11;7;15
1007530-2011-03256;1002070;6,8;28;7;99
1007530-2011-03257;1002214;250;80;80;220
1007530-2011-03258;1002225;60;60;40;80
1007530-2011-03259;1002491;434;68;188;82
1007530-2011-03260;1002507;320;135;60;135
1007530-2011-03261;1002530;440;110;46;580
1007530-2011-03262;1002742;1,9;20;20;29
1007530-2011-03263;1003034;35;70;20;80
1007530-2011-03264;1003038;50;70;20;80
1007530-2011-03265;1003136;1;16;16;26
1007530-2011-03266;1003164;1;10;10;10
1007530-2011-03267;1003193;0,6;20;20;30
1007530-2011-03269;1003314;370;200;91;220
1007530-2011-03270;1003388;0,5;20;20;29
1007530-2011-03271;1003797;0,15;16;11;21
1007530-2011-03272;1003869;1.310;220;130;580
1007530-2011-03277;1004151;1;28;3;31
1007530-2011-03276;1004280;20;60;40;100
1007530-2011-03278;1004284;21;45;19;45
1007530-2011-03279;1004345;22,4;30;30;40
1007530-2011-03280;1004345;22,2;30;30;40
1007530-2011-03281;1004477;368;31;27;612
1007530-2011-03282;1004488;30;20;20;500
1007530-2011-03285;1004643;0,8;20;20;29
1007530-2011-03286;1004643;5;20;20;29
1007530-2011-03287;1004643;515;120;65;260
1007530-2011-03284;1004791;500;78;45;550
1007530-2011-03288;1004843;0,9;20;20;29
1007530-2011-03289;1004866;2;26;16;26
1007530-2011-03291;1004866;3;21;18;26
1007530-2011-03293;1005040;9,08;20;15;30
1007530-2011-03294;1005040;0,26;16;12;16
1007530-2011-03295;1005064;360;80;40;120
1007530-2011-03292;1005139;1,2;20;20;29
1007530-2011-03296;1005139;2,5;20;20;29
1007530-2011-03273;1005144;250;78;45;550
1007530-2011-03274;1005144;350;100;155;310
1007530-2011-03275;1005144;200;80;100;120
1007530-2011-03297;1005183;10;50;30;60
1007530-2011-03298;1005197;9;21,5;16;27
1007530-2011-03299;1005319;3,2;20;20;30
1007530-2011-03300;1005319;11,5;20;20;30
1007530-2011-03301;1005499;1,1;20;20;29
1007530-2011-03302;1005807;0,7;20;20;29
1007530-2011-03303;1005807;0,7;20;20;29
1007530-2011-03304;1005826;170;55;90;110
1007530-2011-03306;1005826;70;80;130;120
1007530-2011-03307;1005826;665;100;80;605
1007530-2011-03308;1005826;216;80;77;120
1007530-2011-03305;1005912;11,5;20;20;29
1007530-2011-03309;1006142;25;95;35;95
1007530-2011-03290;1006403;7,1;20;20;29
1007530-2011-03311;1006428;150;150;40;300
1007530-2011-03312;1006428;164;180;41;180
1007530-2011-03313;1006428;59;78;40;180
1007530-2011-03314;1006428;1.022;220;127;410
1007530-2011-03315;1006430;200;120;60;610
1007530-2011-03310;1006475;0,8;20;20;29
1007530-2011-03316;1006628;1;20;20;30
1007530-2011-03317;1006696;150;80;20;120
1007530-2011-03318;1006696;130;80;28;120
1007530-2011-03319;1006959;0,9;20;20;29
1007530-2011-03320;1007010;20;60;50;80
1007530-2011-03321;1007132;220;80;40;120
1007530-2011-03322;1007499;35;60;50;60
1007530-2011-03323;1007613;5.000;240;100;800
1007530-2011-03326;1007613;1,3;20;20;29
1007530-2011-03328;1007613;5,2;34;17;41
1007530-2011-03329;1007613;1,1;20;20;29
1007530-2011-03330;1007613;30;10;10;600
1007530-2011-03324;1007627;10,7;20;20;30
1007530-2011-03325;1007627;91;65;30;490
1007530-2011-03327;1007693;2,9;21,5;9;27
1007530-2011-03331;1007916;0,6;20;20;29
1007530-2011-03333;1008016;18,6;17;17;60
1007530-2011-03332;1008041;0,2;20;20;30
1007530-2011-03334;1008144;6;35;20;35
1007530-2011-03335;1008432;3,5;18;5;150
1007530-2011-03336;1008432;100;60;70;120
1007530-2011-03337;1008432;75;80;32;120
1007530-2011-03338;1008432;100;80;35;120
1007530-2011-03339;1008432;35;52;44;52
1007530-2011-03248;1008506;1.800;75;85;600
1007530-2011-03340;1008573;1;20;21;30
1007530-2011-03341;1008617;2.089;140;145;625
